scheduler,workload,repetition,pid,cpu_ticks,wait_ticks,response_ticks,turnaround_ticks,context_switches
vanilla,starvation,2,68,2,0,0,2,3
vanilla,starvation,2,69,0,0,0,0,1
vanilla,starvation,2,70,0,0,0,0,1
vanilla,starvation,2,71,0,0,0,0,1
vanilla,starvation,2,72,0,1,1,1,1
vanilla,starvation,2,73,0,0,0,0,1
vanilla,starvation,2,74,0,0,0,0,1
vanilla,starvation,2,75,0,0,0,0,1
vanilla,starvation,2,76,2,1,0,3,3
vanilla,starvation,2,77,0,0,0,0,1
vanilla,starvation,2,78,0,0,0,0,1
vanilla,starvation,2,79,0,0,0,0,1
vanilla,starvation,2,80,0,0,0,0,1
vanilla,starvation,2,81,0,0,0,0,1
vanilla,starvation,2,82,0,0,0,0,1
vanilla,starvation,2,83,0,0,0,0,1
vanilla,starvation,2,84,1,1,0,2,2
vanilla,starvation,3,3,2,13,0,21,29
vanilla,starvation,3,4,6,1,0,7,7
vanilla,starvation,3,5,0,1,1,1,1
vanilla,starvation,3,6,0,1,1,1,1
vanilla,starvation,3,7,0,1,1,1,1
vanilla,starvation,3,8,0,1,1,1,1
vanilla,starvation,3,9,0,1,1,1,1
vanilla,starvation,3,10,0,1,1,1,1
vanilla,starvation,3,11,0,1,1,1,1
vanilla,starvation,3,12,0,1,1,1,1
vanilla,starvation,3,13,0,1,1,1,1
vanilla,starvation,3,14,0,1,1,1,1
vanilla,starvation,3,15,0,1,1,1,1
vanilla,starvation,3,16,0,1,1,1,1
vanilla,starvation,3,17,0,1,1,1,1
vanilla,starvation,3,18,0,1,1,1,1
vanilla,starvation,3,19,0,1,1,1,1
vanilla,starvation,3,20,0,1,1,1,1
vanilla,starvation,3,21,0,1,1,1,1
vanilla,starvation,3,22,0,1,1,1,1
vanilla,starvation,3,23,0,1,1,1,1
vanilla,starvation,3,24,0,1,1,1,1
vanilla,starvation,3,25,0,1,1,1,1
vanilla,starvation,3,26,0,1,1,1,1
vanilla,starvation,3,27,0,1,1,1,1
vanilla,starvation,3,28,0,1,1,1,1
vanilla,starvation,3,29,0,0,0,0,1
vanilla,starvation,3,30,1,0,0,1,2
vanilla,starvation,3,31,0,1,1,1,1
vanilla,starvation,3,32,0,1,1,1,1
vanilla,starvation,3,33,0,0,0,0,1
vanilla,starvation,3,34,0,0,0,0,1
vanilla,starvation,3,35,0,0,0,0,1
vanilla,starvation,3,36,0,0,0,0,1
vanilla,starvation,3,37,0,0,0,0,1
vanilla,starvation,3,38,1,0,0,1,2
vanilla,starvation,3,39,0,1,1,1,1
vanilla,starvation,3,40,0,1,1,1,1
vanilla,starvation,3,41,0,0,0,0,1
vanilla,starvation,3,42,0,0,0,0,1
vanilla,starvation,3,43,0,0,0,0,1
vanilla,starvation,3,44,0,0,0,0,1
vanilla,starvation,3,45,0,0,0,0,1
vanilla,starvation,3,46,1,0,0,1,2
vanilla,starvation,3,47,0,1,1,1,1
vanilla,starvation,3,48,0,1,1,1,1
vanilla,starvation,3,49,0,0,0,0,1
vanilla,starvation,3,50,0,0,0,0,1
vanilla,starvation,3,51,0,0,0,0,1
vanilla,starvation,3,52,3,0,0,3,4
vanilla,starvation,3,53,0,0,0,0,1
vanilla,starvation,3,54,0,0,0,0,1
vanilla,starvation,3,55,0,0,0,0,1
vanilla,starvation,3,56,0,0,0,0,1
vanilla,starvation,3,57,0,0,0,0,1
vanilla,starvation,3,58,0,0,0,0,1
vanilla,starvation,3,59,0,0,0,0,1
vanilla,starvation,3,60,0,0,0,0,1
vanilla,starvation,3,61,0,0,0,0,1
vanilla,starvation,3,62,0,0,0,0,1
vanilla,starvation,3,63,0,0,0,0,1
vanilla,starvation,3,64,0,0,0,0,1
vanilla,starvation,3,65,0,0,0,0,1
vanilla,starvation,3,66,0,0,0,0,1
vanilla,starvation,3,67,0,0,0,0,1
vanilla,starvation,3,68,0,0,0,0,1
vanilla,starvation,3,69,0,0,0,0,1
vanilla,starvation,3,70,0,0,0,0,1
vanilla,starvation,3,71,0,0,0,0,1
vanilla,starvation,3,72,2,0,0,2,3
vanilla,starvation,3,73,0,0,0,0,1
vanilla,starvation,3,74,0,0,0,0,1
vanilla,starvation,3,75,0,0,0,0,1
vanilla,starvation,3,76,0,0,0,0,1
vanilla,starvation,3,77,0,0,0,0,1
vanilla,starvation,3,78,0,0,0,0,1
vanilla,starvation,3,79,0,0,0,0,1
vanilla,starvation,3,80,0,0,0,0,1
vanilla,starvation,3,81,0,0,0,0,1
vanilla,starvation,3,82,0,0,0,0,1
vanilla,starvation,3,83,0,0,0,0,1
vanilla,starvation,3,84,0,0,0,0,1
